,Heading,Subheading,Publisher,Published,Found
0,TSLA Stock Alert: Tesla Sues Battery Supplier Matthews International | InvestorPlace,"Tesla's lawsuit alleges that MATW stole trade secrets from it and shared them with other companies. Specifically, the lawsuit claims that Matthews ...",investorplace.com,2024-06-18 12:58:36,2024-06-18 15:18:05
1,Matthews International (NASDAQ:MATW) Shares Down 2.8% - MarketBeat,"Matthews International Corporation provides brand solutions, memorialization products, and industrial technologies worldwide. It operates through ...",www.marketbeat.com,2024-06-18 12:55:19,2024-06-18 15:18:05
2,'Irreparable Harm': Tesla Sues Supplier For Stealing $1 Billion Battery Secrets | PCMag,The case alleges Matthews International shared 'technology at the very heart of Tesla's business' with competitors and filed patents claiming it ...,www.pcmag.com,2024-06-18 12:42:26,2024-06-18 15:18:05
3,Tesla sues Matthews International for $1 Billion over alleged trade secret theft in battery technology,"Tesla has filed a lawsuit against Matthews International Corporation in the U.S. District Court for the Northern District of California, accusing ...",driveteslacanada.ca,2024-06-18 11:58:16,2024-06-18 15:18:05
4,"Tesla sues former supplier for 'stealing battery trade secrets', but they claim the contrary","The company filed a lawsuit in California court today against Matthews International, which it describes as a supplier of “Tesla's proprietary dry ...",electrek.co,2024-06-18 11:38:40,2024-06-18 15:18:05
5,Tesla is suing a former supplier for trade secret theft,Tesla has filed a lawsuit against former manufacturing equipment supplier Matthews International ... Tesla argues that Matthews shared the company's ...,www.teslarati.com,2024-06-18 11:29:21,2024-06-18 15:18:05
6,"ASX 200 rises before RBA decision; CBA hits intraday high; Fortescue, Beach down","The gains came as Tesla sued US battery supplier Matthews International for allegedly disclosing its confidential trade secrets to other companies, ...",www.thechronicle.com.au,2024-06-18 11:28:30,2024-06-18 15:18:05
7,Tesla Sues EV-Battery Supplier Over Alleged Disclosure of Trade Secrets - WSJ,Tesla claims Matthews International improperly filed patent applications incorporating the electric-car maker's trade secrets.,www.wsj.com,2024-06-18 11:20:12,2024-06-18 15:18:05
8,Tesla sues ex-supplier Matthews over EV battery trade secrets | Reuters,Matthews International Corp. Follow. Tesla Inc. Follow. June 17 (Reuters) ... company trade secrets related to dry electrode battery manufacturing ...,www.reuters.com,2024-06-18 10:21:28,2024-06-18 15:18:05
9,Why Is Reliance Global (RELI) Stock Up 283% Today? - InvestorPlace,The company is progressing with its purchase of Spetner Associates. It ... TSLA Stock Alert: Tesla Sues Battery Supplier Matthews International. On ...,investorplace.com,2024-06-18 09:57:25,2024-06-18 15:18:05
10,Matthews International fires back after Tesla files lawsuit in California - WPXI,"Gough – Reporter, Pittsburgh Business Times June 18, 2024 at 9:55 am EDT. PITTSBURGH — Pittsburgh-based manufacturer Matthews International Corp.",www.wpxi.com,2024-06-18 09:45:53,2024-06-18 15:18:05
11,Matthews International fires back after Tesla files lawsuit in California - Yahoo Finance,"Gough – Reporter, Pittsburgh Business Times. Tue, Jun 18, 2024, 6:55 AM PDT 1 min read. Pittsburgh-based manufacturer Matthews International Corp.",finance.yahoo.com,2024-06-18 09:39:22,2024-06-18 15:18:05
12,Tesla sues ex-supplier Matthews over EV battery trade secrets - ET EnergyWorld,... company trade secrets related to dry electrode battery manufacturing technology ... Tesla has sued its former supplier Matthews International in ...,energy.economictimes.indiatimes.com,2024-06-18 09:17:17,2024-06-18 15:18:05
13,Tesla's Legal Battle with Matthews Highlights Innovation Risks - TipRanks.com,"Tesla (NASDAQ:TSLA) has filed a lawsuit against Matthews International (NASDAQ:MATW) ... company and negatively impact its business, operational ...",www.tipranks.com,2024-06-18 08:53:16,2024-06-18 15:18:05
14,Tesla Sues Ex-Supplier Matthews International Corp. for Stealing EV Battery Trade Secrets,"Electric vehicle giant Tesla, represented by its in-house counsel and Fish & Richardson, sued its ex-supplier Matthews International Corporation ...",www.law.com,2024-06-18 08:27:14,2024-06-18 15:18:05
15,Tech Talk: Tesla sues ex-supplier Matthews over EV battery trade secrets - Gulf Daily News,Tesla has sued its former supplier Matthews International in California ... company trade secrets related to dry electrode battery manufacturing ...,www.gdnonline.com,2024-06-18 08:08:24,2024-06-18 15:18:05
16,"Russia uses chemical weapons and no one cares, including Biden - The Hill","And the lack of media, international and U.S. outrage marks a major de ... Merrill Matthews is a resident scholar with the Institute for Policy ...",thehill.com,2024-06-18 07:40:14,2024-06-18 15:18:05
17,Tesla sues former supplier Matthews over EV battery trade secrets - Autonews News - WION,"... business relationship between the two companies. According to the document, Matthews International, a company based in Pittsburgh, began its role ...",www.wionews.com,2024-06-18 07:06:07,2024-06-18 15:18:05
18,Tesla accuses battery parts supplier of $1B trade secret theft - Daily Journal,"Matthews International denied the allegations and said Tesla was trying to restrict the company from offering its ""innovative solutions"" to others.",www.dailyjournal.com,2024-06-18 06:52:34,2024-06-18 15:18:05
19,Tesla Sues Matthews Over Trade Secrets - TradingView,"In response to the lawsuit, Matthews International has refuted the claims made by Tesla. The company stated that the legal complaint is 'utterly ...",www.tradingview.com,2024-06-18 05:22:36,2024-06-18 15:18:05
20,TSLA Stock Alert: Tesla Sues Battery Supplier Matthews International | InvestorPlace,"Tesla's lawsuit alleges that MATW stole trade secrets from it and shared them with other companies. Specifically, the lawsuit claims that Matthews ...",investorplace.com,2024-06-18 17:58:36+00:00,2024-06-19 17:08:44
21,Matthews International (NASDAQ:MATW) Shares Down 2.8% - MarketBeat,"Matthews International Corporation provides brand solutions, memorialization products, and industrial technologies worldwide. It operates through ...",www.marketbeat.com,2024-06-18 17:55:19+00:00,2024-06-19 17:08:44
22,'Irreparable Harm': Tesla Sues Supplier For Stealing $1 Billion Battery Secrets | PCMag,The case alleges Matthews International shared 'technology at the very heart of Tesla's business' with competitors and filed patents claiming it ...,www.pcmag.com,2024-06-18 17:42:26+00:00,2024-06-19 17:08:44
23,Tesla sues Matthews International for $1 Billion over alleged trade secret theft in battery technology,"Tesla has filed a lawsuit against Matthews International Corporation in the U.S. District Court for the Northern District of California, accusing ...",driveteslacanada.ca,2024-06-18 16:58:16+00:00,2024-06-19 17:08:44
24,"Tesla sues former supplier for 'stealing battery trade secrets', but they claim the contrary","The company filed a lawsuit in California court today against Matthews International, which it describes as a supplier of “Tesla's proprietary dry ...",electrek.co,2024-06-18 16:38:40+00:00,2024-06-19 17:08:44
25,Tesla is suing a former supplier for trade secret theft,Tesla has filed a lawsuit against former manufacturing equipment supplier Matthews International ... Tesla argues that Matthews shared the company's ...,www.teslarati.com,2024-06-18 16:29:21+00:00,2024-06-19 17:08:44
26,"ASX 200 rises before RBA decision; CBA hits intraday high; Fortescue, Beach down","The gains came as Tesla sued US battery supplier Matthews International for allegedly disclosing its confidential trade secrets to other companies, ...",www.thechronicle.com.au,2024-06-18 16:28:30+00:00,2024-06-19 17:08:44
27,Tesla Sues EV-Battery Supplier Over Alleged Disclosure of Trade Secrets - WSJ,Tesla claims Matthews International improperly filed patent applications incorporating the electric-car maker's trade secrets.,www.wsj.com,2024-06-18 16:20:12+00:00,2024-06-19 17:08:44
28,Tesla sues ex-supplier Matthews over EV battery trade secrets | Reuters,Matthews International Corp. Follow. Tesla Inc. Follow. June 17 (Reuters) ... company trade secrets related to dry electrode battery manufacturing ...,www.reuters.com,2024-06-18 15:21:28+00:00,2024-06-19 17:08:44
