,Heading,Subheading,Publisher,Published,Found
0,Panorama announces the establishment of a new base in Quebec City - Canada Newswire,"Founded in 2014, Panorama Aviation is an airline specializing in charter flights and custom air services. Based in Quebec, it primarily serves Canada ...",www.newswire.ca,2024-06-18 12:01:21,2024-06-18 15:09:27
1,Mesa Air Group Reports Second Quarter Fiscal 2024 Results - Quantisnow,"Fastest customizable news feed in the world. Follow your favorite companies, SPACs or topics and get alerted as soon as material information break ...",quantisnow.com,2024-06-18 06:22:28,2024-06-18 15:09:27
2,Georgia Gazettes Resolution Ratifying Air Transport Agreement With Oman - Bloomberg Tax,"Media Services. Bloomberg Media Distribution- Advertising. Company. Bloomberg ... © 2024 Bloomberg Industry Group, Inc. All Rights Reserved. © 2024 ...",news.bloombergtax.com,2024-06-17 14:15:33,2024-06-18 15:09:27
3,United States Emergency Medical Services Market Insights Report 2024-2029 ... - Business Wire,The air and water transportation segment by patient group is expected to have the highest growth rate in the U.S. emergency medical services market.,www.businesswire.com,2024-06-18 19:38:47,2024-06-19 13:16:23
4,Kenya Airways Leads Africa in IATA's Sustainable Aviation Fuel Initiative | AirlineGeeks.com,"... corporate travel management companies. KQ joins a select group of stakeholders supporting the Registry's development, including seventeen airlines ...",airlinegeeks.com,2024-06-18 19:37:56,2024-06-19 13:16:23
5,Commercial And Military Aircraft MRO Market size is set to grow by USD 20.82 billion from ...,"Key companies profiled. A J Walter Aviation Ltd., AAR Corp., Airbus SE, Avia Solutions Group PLC, Aviation Technical Services, Barnes Group Inc., ...",finance.yahoo.com,2024-06-18 18:05:18,2024-06-19 13:16:23
6,Aviation Capital Group Announces Delivery of One Boeing 737-8 MAX to WestJet | Business,"In addition to aircraft leasing services, ACG provides aircraft asset management solutions tailored to meet our customers' fleet management needs. To ...",www.valdostadailytimes.com,2024-06-18 16:13:15,2024-06-19 13:16:23
7,Electrifly lands at Maastricht Aachen Airport - ATC Network,"... aircraft, as does ASL Group, a business aviation operator, ground handling service and flying school. 'Electrifly provides a glimpse into the ...",www.atc-network.com,2024-06-18 15:39:39,2024-06-19 13:16:23
8,Air Charter Service appoints Elie Hanna as new Dubai CEO - The Loadstar,"Elie Hanna has become chief executive of Air Charter Service Dubai, and will oversee the company's growth in the Middle East.",theloadstar.com,2024-06-18 15:32:22,2024-06-19 13:16:23
9,Carlyle Aviation Tests Rekindled Aircraft ABS Market After Two-Year Pause - Bloomberg,Carlyle's return bodes well for aviation companies as they look to raise funds backed by aircraft leases. A post-Covid travel boom helped airlines ...,www.bloomberg.com,2024-06-18 06:50:27,2024-06-19 13:16:23
10,United States Emergency Medical Services Market Insights Report 2024-2029 ... - Business Wire,The air and water transportation segment by patient group is expected to have the highest growth rate in the U.S. emergency medical services market.,www.businesswire.com,2024-06-19 00:38:47+00:00,2024-06-19 17:00:37
11,Kenya Airways Leads Africa in IATA's Sustainable Aviation Fuel Initiative | AirlineGeeks.com,"... corporate travel management companies. KQ joins a select group of stakeholders supporting the Registry's development, including seventeen airlines ...",airlinegeeks.com,2024-06-19 00:37:56+00:00,2024-06-19 17:00:37
12,Commercial And Military Aircraft MRO Market size is set to grow by USD 20.82 billion from ...,"Key companies profiled. A J Walter Aviation Ltd., AAR Corp., Airbus SE, Avia Solutions Group PLC, Aviation Technical Services, Barnes Group Inc., ...",finance.yahoo.com,2024-06-18 23:05:18+00:00,2024-06-19 17:00:37
13,Aviation Capital Group Announces Delivery of One Boeing 737-8 MAX to WestJet | Business,"In addition to aircraft leasing services, ACG provides aircraft asset management solutions tailored to meet our customers' fleet management needs. To ...",www.valdostadailytimes.com,2024-06-18 21:13:15+00:00,2024-06-19 17:00:37
14,Electrifly lands at Maastricht Aachen Airport - ATC Network,"... aircraft, as does ASL Group, a business aviation operator, ground handling service and flying school. 'Electrifly provides a glimpse into the ...",www.atc-network.com,2024-06-18 20:39:39+00:00,2024-06-19 17:00:37
15,Air Charter Service appoints Elie Hanna as new Dubai CEO - The Loadstar,"Elie Hanna has become chief executive of Air Charter Service Dubai, and will oversee the company's growth in the Middle East.",theloadstar.com,2024-06-18 20:32:22+00:00,2024-06-19 17:00:37
16,Panorama announces the establishment of a new base in Quebec City - Canada Newswire,"Founded in 2014, Panorama Aviation is an airline specializing in charter flights and custom air services. Based in Quebec, it primarily serves Canada ...",www.newswire.ca,2024-06-18 17:01:21+00:00,2024-06-19 17:00:37
17,Carlyle Aviation Tests Rekindled Aircraft ABS Market After Two-Year Pause - Bloomberg,Carlyle's return bodes well for aviation companies as they look to raise funds backed by aircraft leases. A post-Covid travel boom helped airlines ...,www.bloomberg.com,2024-06-18 11:50:27+00:00,2024-06-19 17:00:37
18,Mesa Air Group Reports Second Quarter Fiscal 2024 Results - Quantisnow,"Fastest customizable news feed in the world. Follow your favorite companies, SPACs or topics and get alerted as soon as material information break ...",quantisnow.com,2024-06-18 11:22:28+00:00,2024-06-19 17:00:37
19,Georgia Gazettes Resolution Ratifying Air Transport Agreement With Oman - Bloomberg Tax,"Media Services. Bloomberg Media Distribution- Advertising. Company. Bloomberg ... © 2024 Bloomberg Industry Group, Inc. All Rights Reserved. © 2024 ...",news.bloombergtax.com,2024-06-17 19:15:33+00:00,2024-06-19 17:00:37
20,ATSG Recognizes Six Scholarship Recipients - MarketScreener,"Air Transport Services Group, Inc. recently announced this year's recipients of the annual Hete Family Scholarship. This press release features ...",www.marketscreener.com,2024-06-19 22:44:57+00:00,2024-06-20 03:00:37
21,ATSG Recognizes Six Scholarship Recipients | News - The Bakersfield Californian,"WILMINGTON, Ohio--(BUSINESS WIRE)--Jun 19, 2024--. Air Transport Services Group, Inc. recently announced this year's recipients of the annual Hete ...",www.bakersfield.com,2024-06-19 22:38:15+00:00,2024-06-20 03:00:37
22,ATSG Recognizes Six Scholarship Recipients - Morningstar,Air Transport Services Group (ATSG) is a premier provider of aircraft leasing and cargo and passenger air transportation solutions for both domestic ...,www.morningstar.com,2024-06-19 21:43:51+00:00,2024-06-20 03:00:37
23,Seven Group Holdings Ltd Patent: Personal Ionic Air Purifier with Conductive Lanyard,Textual analysis and official patent classifications are used to group patents into key thematic areas and link them to specific companies across the ...,www.worldconstructionnetwork.com,2024-06-19 21:33:45+00:00,2024-06-20 03:00:37
24,Madagascar streamlines its operations | Times Aerospace,... airline with France's tourism stakeholders - an important market for the new Malagasy company. The airline received both its Air Transport ...,www.timesaerospace.aero,2024-06-19 21:12:24+00:00,2024-06-20 03:00:37
25,WestJet buys two more Boeing 737 Max 8s - We are FINN,Aviation Capital Group delivers A321neo to SKY Airline- ALC delivers first ... Air Transport- Aviation Services- Business and General Aviation ...,www.wearefinn.com,2024-06-19 20:51:41+00:00,2024-06-20 03:00:37
26,FRITO-LAY WORKERS IN CALIFORNIA ORGANIZE WITH TEAMSTERS - Le Lézard,"ATSG Recognizes Six Scholarship Recipients. Air Transport Services Group, Inc. recently announced this year's recipients of the annual Hete Family ...",www.lelezard.com,2024-06-19 20:31:18+00:00,2024-06-20 03:00:37
27,Air Transport Services Group ATSG Recognizes Six Scholarship Recipients (Businesswire),"Air Transport Services Group, Inc. recently announced this year's recipients of the annual Hete Family Scholarship. Air Transport Services Group, ...",www.placera.se,2024-06-19 20:04:24+00:00,2024-06-20 03:00:37
28,Elie Hanna promoted to Chief Executive Officer of ACS Dubai - Payload Asia,"Chris Leach, Chairman of Air Charter Service, said: “Elie has enjoyed huge success with the company since he joined us 13 years ago – in that time ...",payloadasia.com,2024-06-19 13:06:40+00:00,2024-06-20 03:00:37
29,"Tranche Update on Nippon Express Holdings,Inc.'s Equity Buyback Plan announced on ...","specializes in freight transportation and logistics services. The group provides transport by land, air, rail and sea of products, materials, ...",www.marketscreener.com,2024-06-19 11:15:17+00:00,2024-06-20 03:00:37
30,BGS to Provide Fueling to DAT at Kaunas Airport - Aviation Pros,"... service company group, which operates a fleet of 213 aircraft. Companies belonging to the group also provide a variety of other aviation services ...",www.aviationpros.com,2024-06-22 01:48:44+00:00,2024-06-22 03:00:38
31,Pilots union that delivers for Amazon plans to picket at Dayton Air Show,“ATI parent company Air Transport Services Group (ATSG) is a sponsor of the Dayton Air Show.” A representative of ATSG declined to comment on the ...,www.daytondailynews.com,2024-06-22 01:23:31+00:00,2024-06-22 03:00:38
32,SITA enters operations as a service market with ASISTIM acquisition - AviTrader,"... services in the air transport industry.” Founded 15 years ago, ASISTIM ... Air cargo rates are holding firm during what is traditionally a quieter ...",avitrader.com,2024-06-21 23:34:46+00:00,2024-06-22 03:00:38
33,Amazon transferring Boeing 737-800 cargo jets to Sun Country Airlines - FreightWaves,... business from 16 Boeing 767-300 freighters Amazon is transferring to ABX Air. ... cargo services positioned us well to grow our business. We look ...,www.freightwaves.com,2024-06-21 22:48:17+00:00,2024-06-22 03:00:38
34,FAA authorizes Joby Aviation to use operating system for air taxi service - Monterey Herald,The company has been able to use its ElevateOS software to test core aspects of its planned operations. Joby has been offering its team members a true ...,www.montereyherald.com,2024-06-21 21:56:42+00:00,2024-06-22 03:00:38
35,Sri Lankan Airlines appoints NAS as UK GSSA - Air Cargo News,NAS is the General Sales and Services division of the Network Aviation Group. The business has 43 offices and 200 staff globally. Sri Lankan Cargo ...,www.aircargonews.net,2024-06-21 20:31:57+00:00,2024-06-22 03:00:38
36,The WestJet Group inaugurates service between Halifax and Edinburgh | AJOT.COM,American Airlines Group Inc.'s unionized flight attendants are threatening to ... WorldACD Weekly Air Cargo Trends (week 24) - 2024. View Article ...,www.ajot.com,2024-06-21 20:22:33+00:00,2024-06-22 03:00:38
37,OXCCU to build SAF demonstration plant in Humber - We are FINN,Px Group will provide the engineering design and construction of the ... Air Transport- Aviation Services- Business and General Aviation- Defence ...,www.wearefinn.com,2024-06-21 19:15:21+00:00,2024-06-22 03:00:38
38,Pilots union says it will picket Dayton Air Show Saturday - Yahoo,"""ATI parent company Air Transport Services Group (ATSG) is a sponsor of the Dayton Air Show."" Questions were sent to a representative of ATSG. In ...",www.yahoo.com,2024-06-21 16:18:51+00:00,2024-06-22 03:00:38
39,American Airlines awards WFS cargo handling contract in Europe to mark Copenhagen launch,"... Group, transpacific air cargo, transpacific air freight, Worldwide Flight Services ... Company *. Job Title *. Constant Contact Use. Please leave this ...",payloadasia.com,2024-06-21 16:10:37+00:00,2024-06-22 03:00:38
40,"Pharma.Aero welcomes Kuehne + Nagel, EarlyHealth Group, Tive and E.T.H. Cargo Services","Tive is a U.S.-based company providing validated, real-time supply chain visibility across road, air, ocean, and rail. With a track record of ...",www.ajot.com,2024-06-21 10:37:02+00:00,2024-06-22 03:00:38
41,Sun Country adds eight aircraft to its Amazon cargo operation | News | Flight Global,"We provide news, data, analytics and advisory services to connect the aviation community globally and help organisations shape their business ...",www.flightglobal.com,2024-06-21 10:03:35+00:00,2024-06-22 03:00:38
42,Aviation Capital Group Announces Delivery of One A321neo to Condor Flugdienst,"NEWPORT BEACH, Calif.--(BUSINESS WIRE)--Jun 20, 2024--. Aviation Capital Group LLC (ACG), a premier global full-service aircraft asset manager, ...",www.bakersfield.com,2024-06-21 07:40:22+00:00,2024-06-22 03:00:38
43,Here's Why Air Transport Services (ATSG) is a Strong Growth Stock - Yahoo News NZ,"Air Transport Services Group is a leading provider of aircraft leasing, and air cargo transportation and related services,globally. Moreover, this ...",nz.news.yahoo.com,2024-06-21 04:06:47+00:00,2024-06-22 03:00:38
44,Air Transport Services Group (NASDAQ:ATSG) Shares Gap Down to $12.45 - MarketBeat,"Air Transport Services Group, Inc, together with its subsidiaries, provides aircraft leasing, and air cargo transportation and related services in the ...",www.marketbeat.com,2024-06-20 16:41:27+00:00,2024-06-22 03:00:38
45,Why Sun Country Airlines Stock Popped 12% on Thursday - The Globe and Mail,"As Sun Country explained in its announcement, it already runs a dozen Boeing jets for Amazon. The companies' new Amended and Restated Air Transport ...",www.theglobeandmail.com,2024-06-20 16:35:16+00:00,2024-06-22 03:00:38
46,How to Play FedEx (FDX) Stock Ahead of Its Q4 Earnings? - Nasdaq,"The company announced a 10% increase in its quarterly dividend to $1.38 per ... Air Transport Services Group, Inc (ATSG) : Free Stock Analysis Report.",www.nasdaq.com,2024-06-20 15:47:29+00:00,2024-06-22 03:00:38
47,dnata Ensures Smooth and Safe Journeys for Animal Passengers in Brussels | Aviation Pros,"dnata currently provides service excellence at Brussels Airport with a team of 140 highly trained aviation professionals, handling over 100,000 tonnes ...",www.aviationpros.com,2024-06-20 15:32:20+00:00,2024-06-22 03:00:38
48,Sun Country Airlines signs revised air transport services agreement with Amazon,"Sun Country Airlines signs revised air transport services agreement with Amazon. Jun. 20, 2024 9:16 AM ETSun Country Airlines Holdings, Inc. (SNCY) ...",seekingalpha.com,2024-06-20 13:29:45+00:00,2024-06-22 03:00:38
49,Sata's summer connections to Boston and Toronto take off - We are FINN,"Sata Group director of sales, marketing and communication Graça Silva ... Air Transport- Aviation Services- Business and General Aviation- Defence ...",www.wearefinn.com,2024-06-22 20:58:14+00:00,2024-06-23 03:00:38
50,"PNC Financial Services Group Inc. Reduces Holdings in Comfort Systems USA, Inc. (NYSE:FIX)","The company offers heating, ventilation, and air conditioning systems ... Air Transport Services Group (NASDAQ:ATSG) Shares Gap Down to $12.45- La ...",www.defenseworld.net,2024-06-22 09:51:35+00:00,2024-06-23 03:00:38
51,"GACA issues May classification for air transport service providers, airports","FITAIHI GROUP, ALASEEL, SEERA, DWF, ALHOKAIR GROUP, TECO ... Argaam Investment Company has updated the Privacy Policy of its services and digital ...",www.argaam.com,2024-06-22 07:21:46+00:00,2024-06-23 03:00:38
52,Texas logistics company with 500 truck drivers abruptly ceases operations - FreightWaves,"According to its website, USLS was Ten Oaks Group's first transportation acquisition. After acquiring Forward Air Solutions of Greeneville, Tennessee, ...",www.freightwaves.com,2024-06-24 01:35:27+00:00,2024-06-24 03:00:36
53,"TAHDCO relaunches air transport certification training programme for SC, ST graduates",... Group News Sites. Business Line- BL on Campus- Sportstar- Frontline ... companies. All rights reserved. BACK TO TOP Back to Top. The Hindu. Sign in ...,www.thehindu.com,2024-06-24 00:53:56+00:00,2024-06-24 03:00:36
54,Texel Air Australasia begins Team Global Express flights - ch-aviation,"Texel Australasia's fifth B737-800BCF services a contract for Parceline Express, a subsidiary of Freightways NZ and New Zealand Post. Meanwhile, local ...",www.ch-aviation.com,2024-06-23 23:22:23+00:00,2024-06-24 03:00:36
55,WestJet celebrates Halifax-Edinburgh service launch - We are FINN,... business and leisure ties through air connectivity. “With today's ... Air Transport- Aviation Services- Business and General Aviation- Defence ...,www.wearefinn.com,2024-06-23 19:44:27+00:00,2024-06-24 03:00:36
56,Scalian buys avionics specialist Mannarino,... company specialising in avionics for electric aircraft and drones ... Air Transport- Aviation Services- Business and General Aviation- Defence ...,www.wearefinn.com,2024-06-23 19:28:25+00:00,2024-06-24 03:00:36
57,Star Bulk (SBLK) to Report Q3 Earnings: What to Expect? - Yahoo News UK,"... Air Transport Services Group ATSG. The company, carrying a Zacks Rank #3, reported third-quarter earnings (excluding 24 cents from non-recurring ...",uk.news.yahoo.com,2024-06-23 18:03:35+00:00,2024-06-24 03:00:36
58,PRESSR: Air transport industry improves baggage handling despite surge in passenger ...,"SITA, the global leader in technology solutions for the air transport ... Select market data provided by ICE Data Services © 2024 TradingView, Inc.",www.tradingview.com,2024-06-23 12:24:44+00:00,2024-06-24 03:00:36
59,Early Reviews Are Rave For New Satcom System | Aviation Week Network,AeroMech subsidiary AMI Aviation Services now installs the ... Bill covers business aviation and advanced air mobility for Aviation Week Network.,aviationweek.com,2024-06-25 22:22:52+00:00,2024-06-26 03:00:37
60,Airbus Delivers First ACH160 Corporate Helicopter in North America,Canada's Chartright Air Group has taken delivery of the first Airbus Helicopters ACH160 delivered in North America. The H160 received Transport ...,www.ainonline.com,2024-06-25 22:02:55+00:00,2024-06-26 03:00:37
61,Ural Airlines and Russian airports operator feature in latest EU sanctions list | Flight Global,Several Russian air transport companies including Ural Airlines and the airports operator Novaport have been newly included in a revised European ...,www.flightglobal.com,2024-06-25 21:53:50+00:00,2024-06-26 03:00:37
62,Libra Group's Aria Wings plan for future flights with eVTOL electric aircraft - sofokleous10.gr,"... aircraft and helicopter charter services without crew, regular international air transport services for passengers, etc.”. As stated in this ...",sofokleous10.gr,2024-06-25 21:38:15+00:00,2024-06-26 03:00:37
63,"Private Equity Group Abruptly Shutters Logistics Company With 500 Drivers, 19 Terminals","Private equity firm Ten Oaks Group acquired US Logistics Solutions, formerly Forward Air Solutions, in 2021. ... Transportation Services shut down ...",www.bisnow.com,2024-06-25 21:15:00+00:00,2024-06-26 03:00:37
64,ESTUAIRE raises €2.2M in seed round to reduce the climate impact of aviation | Safran,"The team has top-tier advisors, including an award-winning aviation scientist and a former airline executive; The company's customers include ...",www.safran-group.com,2024-06-25 21:07:57+00:00,2024-06-26 03:00:37
65,"U.S. Logistics Solutions Closes Suddenly, Files for Chapter 7 Bankruptcy - Sourcing Journal",Ten Oaks Group owns USLS after acquiring Forward Air Solutions for $20 ... group to close our doors at the same time business was surging.” He went ...,sourcingjournal.com,2024-06-25 20:45:16+00:00,2024-06-26 03:00:37
66,AirExplore adds 3 more cargo aircraft - AeroMorning.com,"AirExplore, a Slovak airline and a member of Avia Solutions Group, the ... Last week, the company took delivery of 3 B737-800 full freighter aircraft.",aeromorning.com,2024-06-25 17:20:01+00:00,2024-06-26 03:00:37
67,Chartright Air Group takes delivery of Canada's first corporate ACH160 - AviTrader,"Chartright Air Group, a provider of private aviation services in Canada, has received Canada's first corporate ACH160 helicopter.",avitrader.com,2024-06-25 15:41:22+00:00,2024-06-26 03:00:37
68,Canada concludes new air transport agreement with Argentina - Yahoo Finance,"Industry-standard safety, security and doing-business provisions. Airlines can offer increased services due to this expanded agreement immediately.",finance.yahoo.com,2024-06-25 15:37:15+00:00,2024-06-26 03:00:37
69,SMBC Aviation Capital secures US$1.5 billion finance facility - AviTrader,... company renowned for its airline flight operations services. This move ... Air cargo rates are holding firm during what is traditionally a quieter ...,avitrader.com,2024-06-25 12:17:03+00:00,2024-06-26 03:00:37
70,Aviation Capital Group Announces Closing of $600 Million Senior Unsecured Notes,INDUSTRY KEYWORD: PROFESSIONAL SERVICES AIR TRANSPORT FINANCE. SOURCE: Aviation Capital Group LLC. Copyright Business Wire 2024. PUB: 06/24/2024 03 ...,www.valdostadailytimes.com,2024-06-25 07:57:53+00:00,2024-06-26 03:00:37
71,Aviation Capital Group Announces Closing of $600 Million Senior Unsecured Notes,"... corporate purposes, including repayment of outstanding indebtedness and the purchase of commercial aircraft. ... Services. Subscribe- Gift ...",www.standard-journal.com,2024-06-25 07:38:13+00:00,2024-06-26 03:00:37
72,Texel Air Australasia offers freighter capacity to Team Global Express,Australian logistics solutions company Team Global Express has begun a partnership with Texel Air Australasia that will see the cargo airline ...,www.aircargonews.net,2024-06-25 06:32:11+00:00,2024-06-26 03:00:37
73,Thales obtains EASA UAS design approval - We are FINN,"... Group, which plans to provide drone services to Swiss authorities and industry players. ... Air Transport- Aviation Services- Business and General ...",www.wearefinn.com,2024-06-25 04:29:10+00:00,2024-06-26 03:00:37
74,Airbus delivers first ACH160 helicopter in Canada - Vertical Magazine,"Chartright Air Group, a provider of private aviation services in Canada, has taken delivery of Canada's first corporate ACH160.",verticalmag.com,2024-06-25 04:22:00+00:00,2024-06-26 03:00:37
75,"Astral, Texel Air, AirExplore Add 737Fs To Support E-Commerce Demand - Aviation Week","Credit: Avia Solutions Group. Kenya's Astral Aviation, Australian logistics company Team Global Express and Slovakian carrier AirExplore are all ...",aviationweek.com,2024-06-26 09:13:32+00:00,2024-06-26 13:00:35
76,《美国上市公司业绩公布日程表》--7月14日至7月21日| Reuters,OQ Q2 2016 J B Hunt Transport Services Inc (暂定) 18-7-2016 BMO SCHW.N ... N Q2 2016 Alaska Air Group Inc 21-7-2016 BMO PPG.N Q2 2016 PPG ...,www.reuters.com,2024-06-26 07:14:28+00:00,2024-06-26 13:00:35
77,US's Silver Air secures additional Global Express - ch-aviation,Silver Air is an aircraft management company and direct charter operator. ... Avia Solutions Group eyes around 20 AOCs by 1Q25. 24Jun2024. Pro.,www.ch-aviation.com,2024-06-26 03:33:58+00:00,2024-06-26 13:00:35
78,EDS Named to Fast 40 by ACG Atlanta for Second Consecutive Year - Valdosta Daily Times,... group of innovative companies ... AIR TRANSPORT BUSINESS LOGISTICS/SUPPLY CHAIN MANAGEMENT SOFTWARE OTHER PROFESSIONAL SERVICES HUMAN RESOURCES.,www.valdostadailytimes.com,2024-06-26 02:30:14+00:00,2024-06-26 13:00:35
79,Lufthansa Group Introduces Environmental Cost Surcharge - Aviation Pros,"... corporate customers to make air travel or the transport of freight more sustainable. SAF quotas of the EU. As part of its ""Fit for 55"" climate ...",www.aviationpros.com,2024-06-26 01:44:54+00:00,2024-06-26 13:00:35
80,Volotea and Abra sign JV with eye on Air Europa remedies at Madrid | News | Flight Global,"Spanish low-cost carrier Volotea and Avianca parent company Abra Group ... We provide news, data, analytics and advisory services to connect the ...",www.flightglobal.com,2024-06-26 00:03:34+00:00,2024-06-26 13:00:35
81,Embraer Group is certified by Great Place to Work consultancy - AeroMorning.com,"The company maintains industrial units, offices, service and parts ... The year 2024 began for air transport with a disaster and a miracle. In ...",aeromorning.com,2024-06-25 16:10:25+00:00,2024-06-26 13:00:35
82,CHAMP Cargosystems selected by CMA CGM AIR CARGO to fulfil its expansion plans,“We are very happy to support CMA CGM AIR CARGO with our extensive range of services that will enable them to establish their business around advanced ...,www.ajot.com,2024-06-26 14:48:49+00:00,2024-06-26 16:00:36
83,Lufthansa City Airlines Launches Operations With Flights From Munich - Aviation Week,"The newest Lufthansa Group subsidiary, founded as a company in 2022, will use an Airbus A320neo to operate its first set of routes.",aviationweek.com,2024-06-26 14:24:07+00:00,2024-06-26 16:00:36
